id,reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,nameOfProgram,fundingAmount
d2c2ec70-43e5-4fee-a94b-b4d27386e618,2014,Alabama,Alabama Emergency Management Agency,developenhanceplansproceduresandprotocols,2014-10-01T00:00:00.000Z,2016-10-01T00:00:00.000Z,EMPG,5795991.00
fcfb351a-a101-4073-940e-f1d83d61d8af,2014,Alaska,City and Borough of Juneau,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,110000.00
3728aea6-7390-46b0-90fb-4ad9390d3ab3,2014,Alaska,City of Cordova,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,18000.00
18b2a863-0c9a-4c26-a722-db81bbd3d3b8,2014,Alaska,City of Dillingham,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,2672.65
a071b178-7d78-472e-a8e7-e1c132e3d797,2014,Alaska,City of Fairbanks,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,10000.00
2e6f0ba0-05e3-43da-bbd1-58404b153ea4,2014,Alaska,City of Ketchikan,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,25206.29
4e428827-5fcf-4f86-b673-0570ecbcdf2f,2014,Alaska,City of Kodiak,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,13375.70
8e5e70df-870c-488d-9588-2ca62b090300,2014,Alaska,City of North Pole,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-10-01T00:00:00.000Z,2016-03-01T00:00:00.000Z,EMPG,10000.00
da2261d6-70b8-4c24-8603-e61a7d678eb2,2014,Alaska,City of Whittier,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,3359.39
df624e9b-6c27-4010-80dd-4316ff1ac9f2,2014,Alaska,Denali Borough,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,8533.30
4ce5848b-88b5-486f-9b49-0ec80dd7f852,2014,Alaska,Division of Homeland Security and Emergency Management,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2013-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,2425109.67
