State,ProjectType,ReportingPeriod,FundingAmount
0,6,2014,5795991.0
1,23,2014,110000.0
1,23,2014,18000.0
1,23,2014,2672.65
1,23,2014,10000.0
1,23,2014,25206.29
1,23,2014,13375.7
1,23,2014,10000.0
1,23,2014,3359.39
1,23,2014,8533.3
1,23,2014,2425109.67
1,23,2014,142000.0
1,23,2014,142000.0
1,23,2014,72000.0
1,23,2014,125000.0
2,18,2014,910896.0
3,22,2014,6956206.87
3,30,2014,15954.13
4,22,2014,21373.18
4,22,2014,2792604.38
4,22,2014,22172.03
4,22,2014,26885.79
4,22,2014,78403.78
4,22,2014,25367.08
4,22,2014,16627.98
4,22,2014,17525.36
4,22,2014,16113.3
4,22,2014,16299.4
4,22,2014,22493.95
4,22,2014,8686.34
4,22,2014,23332.56
4,22,2014,18461.32
4,22,2014,20102.67
4,22,2014,22008.54
4,22,2014,43197.76
4,22,2014,33474.16
4,22,2014,15082.53
4,22,2014,12009.3
4,22,2014,18299.8
4,22,2014,6738.38
4,22,2014,12595.23
4,22,2014,47931.72
4,22,2014,21121.18
4,22,2014,4843.74
4,22,2014,43079.66
4,22,2014,21044.5
4,22,2014,27876.51
4,22,2014,11894.98
4,22,2014,24427.12
4,22,2014,19872.71
4,22,2014,21085.09
4,22,2014,37839.71
4,22,2014,18278.31
4,22,2014,18167.02
4,22,2014,12174.95
4,22,2014,8685.85
4,22,2014,19996.18
4,22,2014,18732.84
4,22,2014,52229.26
4,22,2014,18425.91
4,22,2014,32492.81
4,22,2014,18648.85
4,22,2014,20706.24
4,22,2014,26101.9
4,22,2014,26886.33
4,22,2014,18309.1
4,22,2014,18686.26
4,22,2014,6636.25
4,22,2014,18360.13
4,22,2014,33574.53
4,22,2014,23374.84
4,22,2014,17261.91
4,22,2014,17029.28
4,22,2014,19194.78
4,22,2014,15463.43
4,22,2014,21836.31
4,22,2014,27189.2
4,22,2014,18468.65
4,22,2014,51788.74
4,22,2014,4877.37
4,22,2014,46206.86
4,22,2014,3879.47
4,22,2014,17452.54
4,22,2014,51457.24
4,22,2014,20820.41
4,22,2014,18217.47
4,22,2014,18049.72
4,22,2014,19505.69
4,22,2014,27749.38
4,22,2014,20887.2
4,22,2014,73252.79
4,22,2014,37738.51
4,22,2014,12381.41
4,22,2014,22265.62
5,5,2014,16345.0
5,29,2014,17500.0
5,18,2014,452545.0
5,0,2014,23496.0
5,4,2014,21403.0
5,5,2014,21873.0
5,5,2014,37652.0
5,6,2014,97376.0
5,4,2014,918.0
5,4,2014,97997.0
5,5,2014,1683.0
5,5,2014,36000.0
5,5,2014,98503.0
5,6,2014,55600.0
5,4,2014,145176.0
5,6,2014,207123.0
5,0,2014,56458.0
5,5,2014,11263.0
5,9,2014,41288.0
5,10,2014,15369.0
5,9,2014,163553.0
5,4,2014,326383.0
5,4,2014,28054.0
5,4,2014,153597.0
5,6,2014,163083.0
5,4,2014,8743.0
5,6,2014,180873.0
5,10,2014,106744.0
5,23,2014,10000.0
5,4,2014,55893.0
5,10,2014,65.0
5,10,2014,8000.0
5,18,2014,1912.0
5,21,2014,4790.0
5,22,2014,48389.0
5,22,2014,483.0
5,31,2014,34853.0
5,4,2014,103248.0
5,10,2014,132069.0
5,4,2014,2231132.0
5,27,2014,157298.0
5,10,2014,178722.0
5,6,2014,128813.0
5,4,2014,143674.0
5,4,2014,180514.0
5,4,2014,410210.0
5,0,2014,128065.0
5,6,2014,214146.0
5,4,2014,145519.0
5,10,2014,761443.0
5,4,2014,200603.0
5,4,2014,111453.0
5,27,2014,563903.0
5,6,2014,430787.0
5,6,2014,136985.0
5,4,2014,50742.0
5,6,2014,216237.0
5,9,2014,5170.0
5,9,2014,20339.0
5,10,2014,36539.0
5,10,2014,152063.0
5,10,2014,12880.0
5,11,2014,17175.0
5,18,2014,52986.0
5,4,2014,375219.0
5,5,2014,261015.0
5,10,2014,100981.0
5,22,2014,54046.0
5,6,2014,120475.0
5,15,2014,179036.0
5,0,2014,7554.0
5,1,2014,1027.0
5,6,2014,697.0
5,6,2014,246436.0
5,10,2014,17000.0
5,0,2014,3902.0
5,6,2014,2247.0
5,10,2014,3500.0
5,10,2014,68395.0
5,4,2014,2938.0
5,6,2014,30000.0
5,6,2014,169275.0
5,10,2014,71541.0
